,final,TF_UNIGRAM,IDF_UNIGRAM,TFIDF_UNIGRAM
48,hmccchhh gmn yhhh https tco usopyww,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[5.51085950651685, 2.2992829841302607, 2.2992829841302607]","[1.8369531688389498, 0.7664276613767536, 0.7664276613767536]"
49,ngertiii ngerti dongg ga ngertiii https tco,"[0.2, 0.2, 0.2, 0.2, 0.2]","[6.116995310087166, 2.7326050467413916, 2.2992829841302607, 6.810142490647111, 2.2992829841302607]","[1.2233990620174333, 0.5465210093482783, 0.4598565968260522, 1.3620284981294224, 0.4598565968260522]"
50,sp yg pusink mikirin konsep confess doang yh sy kayak terima sj hufft,"[0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[6.116995310087166, 5.018383021419056, 4.864232341591798, 6.810142490647111, 6.52246041819533, 6.116995310087166, 5.6061696863211745, 2.8525089739669127, 5.51085950651685]","[0.6796661455652406, 0.5575981134910062, 0.5404702601768664, 0.7566824989607901, 0.7247178242439255, 0.6796661455652406, 0.622907742924575, 0.31694544155187915, 0.6123177229463166]"
51,kpop coba sebut realistis idol kalian sender duluan https tco,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[4.91302250576123, 6.29931686688112, 2.2992829841302607, 7.215607598755275, 6.116995310087166, 6.810142490647111, 3.4428466606606367, 2.2992829841302607]","[0.6141278132201538, 0.78741460836014, 0.2874103730162826, 0.9019509498444094, 0.7646244137608957, 0.8512678113308889, 0.4303558325825796, 0.2874103730162826]"
52,cw alkohol mau kalo beli alkohol cafe supermarket sm tuh beneran dimintain ktp btw sender dah ktp sm ortu dibolehin minum jg,"[0.11764705882352941, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.058823529411764705]","[7.215607598755275, 4.689878954447019, 5.829313237635384, 5.200704578213011, 5.13616605707544, 5.51085950651685, 5.962844630259907, 3.2547944291576973, 7.90875477931522, 5.51085950651685, 5.829313237635384, 3.4428466606606367, 5.200704578213011, 4.541458949328746]","[0.8488950116182676, 0.27587523261453056, 0.34290077868443436, 0.3059237987184124, 0.3021274151220847, 0.32416820626569703, 0.35075556648587686, 0.19145849583280572, 0.9304417387429671, 0.32416820626569703, 0.34290077868443436, 0.20252039180356687, 0.6118475974368248, 0.2671446440781615]"
53,playlist cocok kasih mas crush,"[0.2, 0.2, 0.2, 0.2, 0.2]","[5.711530201979001, 4.507557397653065, 4.773260563386071, 5.711530201979001, 6.29931686688112]","[1.1423060403958003, 0.9015114795306132, 0.9546521126772142, 1.1423060403958003, 1.2598633733762241]"
54,saran menu makan malam,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[4.96431580014878, 6.29931686688112, 4.03755376840733]","[1.6547719333829267, 2.099772288960373, 1.3458512561357765]"
55,happy international ex day mantan,"[0.2, 0.2, 0.2, 0.2, 0.2]","[5.962844630259907, 6.810142490647111, 6.52246041819533, 6.810142490647111, 5.200704578213011]","[1.1925689260519814, 1.3620284981294224, 1.304492083639066, 1.3620284981294224, 1.0401409156426022]"
56,cita cita profesi kalo ken rumah gede gapunya rumah dalem ruang stray cats,"[0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857]","[7.215607598755275, 6.29931686688112, 3.2547944291576973, 4.353406717825807, 4.817712325956904]","[2.0616021710729355, 0.8999024095544457, 0.4649706327368139, 0.6219152454036867, 1.3764892359876868]"
57,trauma gue rame gak pake tas sletingnya dompet gue ilanggg plis kalo warga jakarta liat dompet item jatoh isi kartu ajar kartu pustaka kartu golong darah waktu jaman sd foto gue foto jaehyun ukur hubungin gue cont,"[0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.06451612903225806, 0.06451612903225806, 0.03225806451612903, 0.12903225806451613, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.0967741935483871, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903, 0.03225806451612903]","[5.6061696863211745, 4.2978368666709965, 6.810142490647111, 7.215607598755275, 5.269697449699962, 3.689247074139114, 4.38239425469906, 5.075541435259004, 6.810142490647111, 7.215607598755275, 6.52246041819533, 6.29931686688112, 7.215607598755275, 3.2547944291576973, 6.52246041819533, 4.612917913310891, 3.9769291465908947, 5.962844630259907, 6.810142490647111, 5.962844630259907, 7.215607598755275, 7.215607598755275, 5.4238481295272205, 7.215607598755275]","[0.1808441834297153, 0.13863989892487086, 0.21968201582732616, 0.4655230708874371, 0.33998048062580394, 0.1190079701335198, 0.5654702264127819, 0.1637271430728711, 0.21968201582732616, 0.23276153544371855, 0.21040194897404288, 0.20320376989939096, 0.23276153544371855, 0.10499336868250636, 0.6312058469221287, 0.14880380365519003, 0.12828803698680305, 0.19234982678257764, 0.21968201582732616, 0.19234982678257764, 0.23276153544371855, 0.23276153544371855, 0.17496284288797484, 0.23276153544371855]"
